"","TIME","TIMECD","CNTRYNM","CNTRYCD","CTRLCORR","GOVEFF","PSAVT","REGQUA","RULAW","VOIACC","ANNI","ANNICAPITA","GDP","GDPCAPITA","GGFCE","GNI","GNICAPITA","RRND","GINIINDEX","UNEMPLOY","INCOMEGRP"
"38","2003","YR2003","Congo, Rep.","COG",-1.090136647,-1.189265966,-1.170220375,-1.166191697,-1.267970681,-0.827222049,923435807.4,269.6436128,3503723087,1023.088496,608211011.3,2583994527,690,NA,NA,NA,"LOW"
"39","2003","YR2003","Costa Rica","CRI",0.516545832,0.20942755,0.59575659,0.623164058,0.526866555,0.964284658,15450730214,3688.748825,17271760507,4123.506487,2503967510,16474690501,4000,131.6025543,49.3,6.65,"LOWER-MIDDLE"
"40","2003","YR2003","Cote d'Ivoire","CIV",-1.013844848,-1.123632669,-1.803262711,-0.751793325,-1.358520508,-1.154527545,12236232045,675.4210328,21251754335,1173.063882,NA,13047012641,610,NA,NA,NA,"LOW"
"41","2003","YR2003","Croatia","HRV",0.258523047,0.317021996,0.558495879,0.466213048,-0.045993946,0.623684108,27806315652,6461.477463,35254833028,8192.322633,6819509587,34089645139,6700,1335.415894,NA,13.92,"UPPER-MIDDLE"
"42","2003","YR2003","Cuba","CUB",0.220001534,-0.364734918,0.316652775,-1.457226515,-1.22319901,-1.789759636,31317076045,2796.363,35901200000,3205.688398,12110612500,35340723500,3100,NA,NA,2.33,"LOWER-MIDDLE"
"43","2003","YR2003","Cyprus","CYP",1.192308187,1.122801542,0.532275915,1.181729555,0.938781798,0.994463027,12223373126,17016.91992,14547325028,20252.23828,2605662514,13954369196,16710,677.8319702,NA,4.15,"HIGH"
"44","2003","YR2003","Czechia","CZE",0.489982098,0.858715713,0.887058139,1.136814356,0.873709798,1.014175177,75492261240,7405.559746,1.0009e+11,9818.568493,21939203800,96725406785,8110,1543.977905,NA,7.78,"UPPER-MIDDLE"
"45","2003","YR2003","Denmark","DNK",2.358764887,2.087046385,1.203815699,1.73271966,1.920511007,1.601452231,1.7606e+11,32660.80248,2.18097e+11,40458.94117,54607158825,2.16145e+11,34750,4618.922852,25.6,5.4,"HIGH"
"46","2003","YR2003","Dominica","DMA",0.854120076,0.833830893,0.672486365,0.926884115,0.804431558,1.053587675,292864781.5,4279.021383,343311111.1,5016.088237,NA,316294925.9,4790,NA,NA,NA,"UPPER-MIDDLE"
"47","2003","YR2003","Dominican Republic","DOM",-0.728653252,-0.558881104,-0.419894457,-0.390229702,-0.640382707,0.023253515,18942584529,2123.643366,21403168128,2399.498123,1848566589,20001897435,2620,NA,52.1,6.94,"LOWER-MIDDLE"
"48","2003","YR2003","Ecuador","ECU",-0.728124201,-0.93481195,-0.96105659,-0.723995984,-0.780572593,-0.121541075,25412069599,1910.511846,32432858000,2438.343684,3474828000,30940439900,2130,48.24349976,53.5,5.66,"LOWER-MIDDLE"
"49","2003","YR2003","Egypt, Arab Rep.","EGY",-0.53074795,-0.380943358,-0.640924513,-0.574796617,-0.002354469,-1.083185434,70508404766,928.1901174,80288461538,1056.937209,10173076923,80181261538,1190,NA,NA,10.91,"LOWER-MIDDLE"
"50","2003","YR2003","El Salvador","SLV",-0.416793615,-0.464947581,-0.180753872,-0.24624534,-0.51685524,0.107482292,11873661577,1970.127604,13243892200,2197.482001,1828674800,12820792200,2110,NA,50.5,6.9,"LOWER-MIDDLE"
"51","2003","YR2003","Equatorial Guinea","GNQ",-1.2759372,-1.10543251,0.114630744,-1.43353641,-1.2268852,-1.663450122,-98051694.12,-124.1662065,2484745935,3146.518575,NA,924205363.8,1040,NA,NA,NA,"LOW"
"52","2003","YR2003","Estonia","EST",0.922725499,0.884159386,0.894786239,1.17419982,0.770817876,1.07057941,8066920937,5885.170521,9874013098,7203.523038,1762203026,9301313234,5730,2197.523682,37.2,11.29,"UPPER-MIDDLE"
"53","2003","YR2003","Eswatini","SWZ",-0.073139861,-0.710048139,0.066245928,-0.282602161,-0.613890231,-1.530229688,1845587598,1743.098628,2197598418,2075.561621,337477310.1,2155641362,1640,NA,NA,NA,"LOWER-MIDDLE"
"54","2003","YR2003","Ethiopia","ETH",-0.777412176,-1.071674585,-1.40960443,-1.155828953,-0.834280729,-1.114733219,4718216119,64.48395585,8623691300,117.8601647,NA,8557581132,110,NA,NA,NA,"LOW"
"55","2003","YR2003","Fiji","FJI",0.276081532,0.061891425,0.452653438,-0.282602161,0.009974545,0.066641822,2058431120,2398.24855,2300492002,2680.270209,385701126.3,2301494234,2290,NA,NA,8.22,"LOWER-MIDDLE"
"56","2003","YR2003","Finland","FIN",2.374123812,2.193020582,1.687017441,1.826323748,1.958634257,1.572457075,1.40517e+11,26955.02091,1.71652e+11,32927.68029,36212968795,1.70641e+11,28800,NA,27.7,10.47,"HIGH"
"57","2003","YR2003","France","FRA",1.305756092,1.650370717,0.179551065,1.215464473,1.333288908,1.122662783,1.56807e+12,25187.10405,1.84454e+12,29627.92426,4.26891e+11,1.86903e+12,26000,3199.748291,31.4,8.31,"HIGH"
"58","2003","YR2003","Gabon","GAB",-0.553776979,-0.425147951,0.299038559,-0.058016263,-0.406030953,-0.662809372,3623369607,2628.681706,6511903364,4724.254797,1054931394,5797168341,3710,NA,NA,NA,"LOWER-MIDDLE"
"59","2003","YR2003","Gambia, The","GMB",-0.176545039,-0.419529736,0.322430104,-0.474271208,0.163011163,-0.489668667,359012085.8,229.2165882,487038679.4,310.9570647,42640109.52,464320899.8,370,NA,47.3,NA,"LOW"
"60","2003","YR2003","Georgia","GEO",-0.650767446,-0.197516724,-1.299210668,-0.617242515,-0.912254095,-0.177865669,3420334523,865.5270805,3991377904,1010.031516,324050986.9,4000877683,990,NA,36.7,11.51,"LOW"
"61","2003","YR2003","Germany","DEU",1.87576139,1.356821299,0.577859223,1.501877904,1.637584686,1.413554311,2.03954e+12,24711.49706,2.50164e+12,30310.3576,4.83458e+11,2.47623e+12,26140,3295.2771,29.9,9.78,"HIGH"
"62","2003","YR2003","Ghana","GHA",-0.311426789,-0.296098858,0.029186578,-0.280945212,0.007860686,0.271764487,5530893972,259.307079,7632720680,357.8478478,880297188.8,7467741579,310,NA,NA,NA,"LOW"
"63","2003","YR2003","Grenada","GRD",0.854120076,0.576517761,0.885519981,0.439084023,0.33739537,0.764794171,NA,NA,591018407.4,5435.151806,NA,540525814.8,5060,NA,NA,NA,"UPPER-MIDDLE"
"64","2003","YR2003","Guatemala","GTM",-0.73712796,-0.570836306,-0.774796605,-0.349703223,-1.100940704,-0.483628333,18987268822,1529.340155,21576351799,1737.879287,2104215605,21258490637,1670,NA,NA,2.81,"LOWER-MIDDLE"
"65","2003","YR2003","Guinea","GIN",-0.888901353,-0.762785912,-0.788895369,-0.970146477,-1.154066205,-1.195398688,2578158527,293.8992108,3446441785,392.8798442,281898665.2,3200990293,340,NA,NA,NA,"LOW"
"66","2003","YR2003","Guinea-Bissau","GNB",-1.127326012,-1.189265966,-0.494184494,-0.850086212,-1.226374745,-1.065574169,355798762.7,270.4351092,477458577.2,362.9061593,78716524.58,466427315.9,320,NA,NA,NA,"LOW"
"67","2003","YR2003","Guyana","GUY",-0.357633144,-0.022858949,-0.436319321,-0.340948224,-0.575900853,0.428198814,579185095.2,761.5225257,743063949,976.9932616,208122595.8,700124648.6,920,NA,NA,NA,"LOW"
"68","2003","YR2003","Haiti","HTI",-1.584855795,-1.483278394,-1.315423131,-1.133565903,-1.737163544,-1.200582743,4691473176,532.3811555,5071947798,575.5568301,401231281.5,5057669422,680,NA,NA,NA,"LOW"
"69","2003","YR2003","Honduras","HND",-0.974429309,-0.766016126,-0.379858077,-0.5933339,-0.936451733,-0.177857652,7273906255,1010.000895,8230391505,1142.811372,1228042659,7863764042,1110,NA,58.1,5.3,"LOWER-MIDDLE"
"70","2003","YR2003","Hong Kong SAR, China","HKG",1.800160408,1.589556694,0.947880447,1.894880176,1.536875725,0.449889958,NA,NA,1.61386e+11,23977.17341,17741291296,1.65524e+11,26340,2007.085205,NA,7.86,"HIGH"
"71","2003","YR2003","Hungary","HUN",0.635689139,0.832178175,1.131863952,1.118963718,0.805350184,1.167382121,66305594187,6545.757817,85285075492,8419.432122,19627463889,80511637342,6630,1496.843262,NA,5.79,"UPPER-MIDDLE"
"72","2003","YR2003","Iceland","ISL",2.22752285,2.039054155,1.51723218,1.630003452,1.918754578,1.555669427,NA,NA,11429335645,39476.70685,2886450280,11338318739,33710,6657.359375,26.8,4,"HIGH"
"73","2003","YR2003","India","IND",-0.456320524,-0.14701654,-1.50999701,-0.38163045,0.120161645,0.454564899,5.33298e+11,477.2605421,6.07699e+11,543.8437989,66094649923,6.03193e+11,510,NA,NA,NA,"LOW"
"74","2003","YR2003","Indonesia","IDN",-0.979823589,-0.597246408,-2.09539485,-0.866097331,-0.859100699,-0.299386054,1.73305e+11,776.873484,2.34772e+11,1052.413199,19085795197,2.25747e+11,890,NA,33,6.66,"LOW"
"75","2003","YR2003","Iran, Islamic Rep.","IRN",-0.311086535,-0.55498755,-0.779733181,-1.227163076,-0.680515766,-1.253180027,1.21484e+11,1787.72329,1.53545e+11,2259.51632,17534075473,1.53832e+11,2210,NA,NA,NA,"LOWER-MIDDLE"
"76","2003","YR2003","Iraq","IRQ",-1.209322333,-1.741861463,-2.39324522,-1.446560979,-1.644622922,-1.50118041,16487952433,609.1122777,21921569479,809.845684,2690827789,21945812155,800,NA,NA,NA,"LOW"
"77","2003","YR2003","Ireland","IRL",1.41381526,1.495900273,1.348457694,1.58466208,1.482466817,1.276466012,1.22272e+11,30594.61972,1.64671e+11,41203.52958,26439341444,1.41966e+11,29980,2522.313721,32.9,4.48,"HIGH"
"78","2003","YR2003","Israel","ISR",1.084417462,1.139386654,-1.518784404,0.905544698,0.910984516,0.644292593,1.0243e+11,15311.62107,1.31299e+11,19627.03184,32484365338,1.26708e+11,19300,NA,40.7,13.51,"HIGH"
"79","2003","YR2003","Italy","ITA",0.484606415,0.743578076,0.431488335,1.044891357,0.688429892,0.985716999,1.33021e+12,23209.40204,1.57762e+12,27526.32246,2.9936e+11,1.57002e+12,23410,1221.797974,34.9,8.87,"HIGH"
"80","2003","YR2003","Jamaica","JAM",-0.435169965,-0.016057532,-0.384524792,0.214300141,-0.5007236,0.519186258,8116652252,3061.701089,9430234852,3557.200606,1340592807,8858834851,3510,NA,NA,11.73,"LOWER-MIDDLE"
"81","2003","YR2003","Japan","JPN",1.169873714,1.156972408,1.027120113,1.06996572,1.16399014,1.082603693,3.47086e+12,27175.93852,4.51956e+12,35387.04836,8.0613e+11,4.59259e+12,35660,5094.30957,NA,5.25,"HIGH"
"82","2003","YR2003","Jordan","JOR",0.333168775,0.165349856,-0.073701382,0.190872625,0.324614763,-0.634042144,9359630037,1734.512064,10195627645,1889.437839,2363892807,10325528914,1920,NA,NA,14.5,"LOWER-MIDDLE"
"83","2003","YR2003","Kazakhstan","KAZ",-1.026523709,-0.766568899,0.356259912,-0.403342277,-1.096897006,-1.091705561,20647187925,1384.87904,30833692831,2068.123518,3471117549,29229493189,1810,NA,33.7,8.78,"LOWER-MIDDLE"
"84","2003","YR2003","Kenya","KEN",-0.964616835,-0.73415792,-1.263868928,-0.328403115,-0.923378527,-0.257107317,11677824740,345.8341739,14904517650,441.3914117,2702385577,14738442157,420,NA,NA,NA,"LOW"
"85","2003","YR2003","Korea, Rep.","KOR",0.544911742,0.79389745,0.248543099,0.717727244,0.80029881,0.723233759,5.80821e+11,12127.63362,7.02717e+11,14672.85747,85394550230,7.00265e+11,13790,3134.090088,NA,3.35,"HIGH"
"86","2003","YR2003","Kuwait","KWT",0.765973866,0.071461208,0.294286907,0.377949536,0.548373997,-0.396658123,42845363349,20387.93292,47874659168,22781.11943,11010312581,51233589710,23240,165.6160736,NA,1.3,"HIGH"
"87","2003","YR2003","Kyrgyz Republic","KGZ",-1.03281939,-0.54651022,-1.099491715,-0.405866712,-0.760160029,-1.027841806,1606225215,318.4869461,1919008090,380.5064324,322988358.5,1857008090,340,NA,28.7,9.92,"LOW"
"88","2003","YR2003","Lao PDR","LAO",-0.866406024,-1.011361957,-1.232353568,-1.353559375,-1.380210757,-1.775456309,1531605215,269.219145,2023324407,355.6514836,154956976.5,1909955902,330,NA,NA,NA,"LOW"
"89","2003","YR2003","Latvia","LVA",0.242927805,0.600961149,1.001643181,0.954042315,0.58185941,0.767004192,8877569794,3880.133042,11771975157,5145.195232,2483305866,11714709138,4670,1389.076782,NA,12.06,"UPPER-MIDDLE"
"90","2003","YR2003","Lebanon","LBN",-0.612619996,-0.136932388,-0.459642589,-0.148626938,-0.346831739,-0.491062015,14079609859,3125.463501,20082918740,4458.10858,3340630182,16761628740,3690,NA,NA,NA,"LOWER-MIDDLE"
"91","2003","YR2003","Lesotho","LSO",-0.170022607,0.048487328,0.099674545,-0.567470014,0.084663391,-0.000992403,1506041312,755.6541106,1157825409,580.937271,NA,1654867666,680,7.431819916,NA,NA,"LOW"
"92","2003","YR2003","Liberia","LBR",-1.151747227,-1.427929401,-2.159392834,-1.631839752,-1.533646107,-1.445946336,173114054.4,56.11161982,7.48e+08,242.4499372,NA,595100100,180,NA,NA,NA,"LOW"
"93","2003","YR2003","Libya","LBY",-0.886524618,-0.929176092,0.120704226,-1.512556314,-0.907567978,-1.756654501,19384552499,3497.349458,26265625000,4738.828475,3280708984,26805468750,5240,NA,NA,NA,"UPPER-MIDDLE"
"94","2003","YR2003","Liechtenstein","LIE",1.33278954,1.605770469,1.465131164,1.658584237,1.271467805,1.397978663,NA,NA,3070803439,90317.74821,NA,2627332877,68800,NA,NA,2.11,"HIGH"
"95","2003","YR2003","Lithuania","LTU",0.35301125,0.733195126,1.050185442,1.038295269,0.485247016,0.920530558,15811141739,4629.620975,18781721376,5499.428989,3676380147,18315975183,4700,1934.766846,NA,12.87,"UPPER-MIDDLE"
"96","2003","YR2003","Luxembourg","LUX",1.643057108,1.855200052,1.44070816,1.788604856,1.827028513,1.533095598,21136687316,46800.89302,29667268248,65689.32145,4856346436,24019997499,46050,4357.040527,30.2,3.68,"HIGH"
"97","2003","YR2003","Macao SAR, China","MAC",0.854120076,1.348457336,1.1208992,1.170784235,1.228445053,0.726204634,NA,NA,8246479395,17828.9536,965311956,8039092537,17750,319.2333069,NA,6,"HIGH"
"98","2003","YR2003","Madagascar","MDG",-0.208431333,-0.422788173,0.622443974,-0.334958345,-0.246573523,0.044549529,5267172786,297.1722333,6372498891,359.5343848,1125598378,6265748470,330,47.10882187,NA,5.01,"LOW"
"99","2003","YR2003","Malawi","MWI",-0.758814633,-0.78205502,0.041576758,-0.493568599,-0.180311486,-0.428266704,2573707026,212.914831,4669789300,386.317242,NA,4243759820,300,NA,NA,NA,"LOW"
"100","2003","YR2003","Malaysia","MYS",0.315719813,1.059484839,0.485534877,0.591819644,0.466075152,-0.457673877,71904277682,2906.466839,1.10202e+11,4454.526764,14291052632,1.04272e+11,4160,NA,46.4,3.61,"LOWER-MIDDLE"
